日付,商品名,カテゴリ,地域,数量,単価,売上金額
2026-06-19,ドリップコーヒー12杯,食品,東京,3,1200,3600
2026-06-19,タンブラー,雑貨,名古屋,2,2800,5600
2026-06-19,定期便（月1）,サブスク,札幌,5,3600,18000
2026-06-19,ドリップパックギフト,ギフト,その他,3,3200,9600
2026-06-19,ギフトセット,ギフト,名古屋,4,4500,18000
2026-06-20,ドリップコーヒー12杯,食品,福岡,5,1200,6000
2026-06-20,ドリップコーヒー12杯,食品,東京,1,1200,1200
2026-06-21,ドリップパックギフト,ギフト,その他,1,3200,3200
2026-06-21,定期便（月1）,サブスク,東京,5,3600,18000
2026-06-21,タンブラー,雑貨,東京,5,2800,14000
2026-06-21,コーヒー豆200g,食品,東京,5,1500,7500
2026-06-22,定期便（月1）,サブスク,東京,1,3600,3600
2026-06-22,コーヒー豆200g,食品,その他,5,1500,7500
2026-06-22,マグカップ,雑貨,東京,2,1800,3600
2026-06-22,マグカップ,雑貨,東京,4,1800,7200
2026-06-22,コーヒー豆200g,食品,大阪,2,1500,3000
2026-06-22,コーヒー豆200g,食品,大阪,5,1500,7500
2026-06-23,ドリップコーヒー12杯,食品,福岡,5,1200,6000
2026-06-23,定期便（月1）,サブスク,大阪,2,3600,7200
2026-06-23,タンブラー,雑貨,札幌,1,2800,2800
2026-06-23,ギフトセット,ギフト,札幌,2,4500,9000
2026-06-23,カフェオレベース,食品,その他,5,980,4900
2026-06-24,定期便（月1）,サブスク,名古屋,3,3600,10800
2026-06-24,コーヒー豆200g,食品,東京,2,1500,3000
2026-06-25,コーヒー豆200g,食品,東京,5,1500,7500
2026-06-25,コーヒー豆200g,食品,その他,3,1500,4500
2026-06-25,ドリップパックギフト,ギフト,札幌,3,3200,9600
2026-06-25,カフェオレベース,食品,名古屋,4,980,3920
2026-06-26,定期便（月1）,サブスク,東京,4,3600,14400
2026-06-26,ドリップコーヒー12杯,食品,東京,5,1200,6000
2026-06-26,ドリップパックギフト,ギフト,福岡,2,3200,6400
2026-06-27,タンブラー,雑貨,その他,3,2800,8400
2026-06-27,コーヒー豆200g,食品,大阪,3,1500,4500
2026-06-27,定期便（月1）,サブスク,福岡,3,3600,10800
2026-06-27,マグカップ,雑貨,東京,4,1800,7200
2026-06-28,ギフトセット,ギフト,札幌,5,4500,22500
2026-06-28,カフェオレベース,食品,名古屋,3,980,2940
2026-06-28,ギフトセット,ギフト,その他,5,4500,22500
2026-06-28,ドリップコーヒー12杯,食品,名古屋,1,1200,1200
2026-06-28,ドリップパックギフト,ギフト,札幌,3,3200,9600
2026-06-29,コーヒー豆200g,食品,福岡,4,1500,6000
2026-06-29,定期便（月1）,サブスク,名古屋,1,3600,3600
2026-06-30,カフェオレベース,食品,大阪,2,980,1960
2026-06-30,カフェオレベース,食品,名古屋,4,980,3920
2026-06-30,ドリップコーヒー12杯,食品,東京,5,1200,6000
2026-06-30,コーヒー豆200g,食品,名古屋,1,1500,1500
