日付,商品名,カテゴリ,地域,数量,単価,売上金額
2026-07-28,ドリップパックギフト,ギフト,名古屋,5,3200,16000
2026-07-28,コーヒー豆200g,食品,福岡,1,1500,1500
2026-07-29,ドリップコーヒー12杯,食品,東京,3,1200,3600
2026-07-29,マグカップ,雑貨,大阪,1,1800,1800
2026-07-29,タンブラー,雑貨,札幌,1,2800,2800
2026-07-30,タンブラー,雑貨,大阪,2,2800,5600
2026-07-30,マグカップ,雑貨,名古屋,2,1800,3600
2026-07-30,コーヒー豆200g,食品,名古屋,2,1500,3000
2026-07-30,定期便（月1）,サブスク,名古屋,3,3600,10800
2026-07-31,ドリップコーヒー12杯,食品,札幌,1,1200,1200
2026-07-31,定期便（月1）,サブスク,福岡,1,3600,3600
2026-07-31,マグカップ,雑貨,名古屋,5,1800,9000
2026-07-31,コーヒー豆200g,食品,札幌,3,1500,4500
2026-07-31,カフェオレベース,食品,札幌,4,980,3920
2026-07-31,定期便（月1）,サブスク,大阪,5,3600,18000
2026-08-01,マグカップ,雑貨,東京,5,1800,9000
2026-08-01,定期便（月1）,サブスク,札幌,3,3600,10800
2026-08-01,ドリップコーヒー12杯,食品,東京,3,1200,3600
2026-08-01,マグカップ,雑貨,名古屋,1,1800,1800
2026-08-01,タンブラー,雑貨,名古屋,1,2800,2800
2026-08-01,ギフトセット,ギフト,福岡,2,4500,9000
2026-08-02,ドリップコーヒー12杯,食品,その他,3,1200,3600
2026-08-02,タンブラー,雑貨,東京,2,2800,5600
2026-08-02,カフェオレベース,食品,東京,1,980,980
2026-08-03,ドリップパックギフト,ギフト,福岡,5,3200,16000
2026-08-03,定期便（月1）,サブスク,名古屋,4,3600,14400
2026-08-03,ドリップパックギフト,ギフト,東京,1,3200,3200
2026-08-04,ギフトセット,ギフト,名古屋,5,4500,22500
2026-08-04,ドリップコーヒー12杯,食品,札幌,2,1200,2400
2026-08-05,コーヒー豆200g,食品,札幌,2,1500,3000
2026-08-05,ギフトセット,ギフト,東京,4,4500,18000
2026-08-05,ドリップコーヒー12杯,食品,その他,1,1200,1200
2026-08-05,カフェオレベース,食品,大阪,5,980,4900
2026-08-05,マグカップ,雑貨,名古屋,2,1800,3600
2026-08-05,定期便（月1）,サブスク,福岡,5,3600,18000
2026-08-06,ギフトセット,ギフト,東京,1,4500,4500
2026-08-06,定期便（月1）,サブスク,名古屋,2,3600,7200
2026-08-07,ドリップコーヒー12杯,食品,福岡,3,1200,3600
2026-08-07,定期便（月1）,サブスク,大阪,5,3600,18000
2026-08-07,マグカップ,雑貨,東京,2,1800,3600
2026-08-07,コーヒー豆200g,食品,その他,5,1500,7500
2026-08-07,ギフトセット,ギフト,東京,5,4500,22500
2026-08-08,ドリップパックギフト,ギフト,大阪,1,3200,3200
2026-08-08,コーヒー豆200g,食品,大阪,4,1500,6000
2026-08-09,マグカップ,雑貨,東京,1,1800,1800
2026-08-09,定期便（月1）,サブスク,福岡,4,3600,14400
2026-08-09,定期便（月1）,サブスク,東京,4,3600,14400
2026-08-10,カフェオレベース,食品,名古屋,2,980,1960
2026-08-10,コーヒー豆200g,食品,東京,1,1500,1500
2026-08-11,コーヒー豆200g,食品,大阪,2,1500,3000
2026-08-11,ドリップコーヒー12杯,食品,東京,5,1200,6000
2026-08-11,ギフトセット,ギフト,札幌,4,4500,18000
2026-08-11,ドリップコーヒー12杯,食品,名古屋,3,1200,3600
2026-08-12,ドリップコーヒー12杯,食品,東京,3,1200,3600
2026-08-12,ギフトセット,ギフト,福岡,5,4500,22500
2026-08-12,コーヒー豆200g,食品,札幌,5,1500,7500
2026-08-12,カフェオレベース,食品,東京,1,980,980
2026-08-13,マグカップ,雑貨,東京,3,1800,5400
2026-08-13,カフェオレベース,食品,その他,3,980,2940
2026-08-14,ドリップパックギフト,ギフト,東京,5,3200,16000
2026-08-14,カフェオレベース,食品,東京,3,980,2940
2026-08-14,コーヒー豆200g,食品,名古屋,5,1500,7500
2026-08-15,マグカップ,雑貨,大阪,3,1800,5400
2026-08-15,コーヒー豆200g,食品,東京,1,1500,1500
2026-08-16,定期便（月1）,サブスク,名古屋,1,3600,3600
2026-08-16,タンブラー,雑貨,名古屋,2,2800,5600
2026-08-16,定期便（月1）,サブスク,東京,5,3600,18000
2026-08-16,定期便（月1）,サブスク,東京,2,3600,7200
2026-08-16,カフェオレベース,食品,東京,2,980,1960
2026-08-16,ドリップコーヒー12杯,食品,東京,5,1200,6000
2026-08-17,カフェオレベース,食品,東京,2,980,1960
2026-08-17,コーヒー豆200g,食品,福岡,3,1500,4500
2026-08-18,タンブラー,雑貨,福岡,5,2800,14000
2026-08-18,マグカップ,雑貨,福岡,4,1800,7200
2026-08-19,ギフトセット,ギフト,名古屋,2,4500,9000
2026-08-19,コーヒー豆200g,食品,名古屋,5,1500,7500
2026-08-19,ドリップパックギフト,ギフト,札幌,2,3200,6400
2026-08-19,カフェオレベース,食品,名古屋,1,980,980
2026-08-19,コーヒー豆200g,食品,名古屋,5,1500,7500
2026-08-19,ギフトセット,ギフト,東京,2,4500,9000
2026-08-20,定期便（月1）,サブスク,福岡,5,3600,18000
2026-08-20,ドリップパックギフト,ギフト,大阪,3,3200,9600
2026-08-20,コーヒー豆200g,食品,名古屋,3,1500,4500
2026-08-20,コーヒー豆200g,食品,東京,1,1500,1500
2026-08-21,カフェオレベース,食品,大阪,5,980,4900
2026-08-21,マグカップ,雑貨,その他,5,1800,9000
2026-08-22,タンブラー,雑貨,大阪,2,2800,5600
2026-08-22,タンブラー,雑貨,札幌,3,2800,8400
2026-08-22,ドリップパックギフト,ギフト,東京,3,3200,9600
2026-08-22,定期便（月1）,サブスク,東京,4,3600,14400
2026-08-22,カフェオレベース,食品,大阪,4,980,3920
2026-08-23,マグカップ,雑貨,札幌,5,1800,9000
2026-08-23,マグカップ,雑貨,東京,3,1800,5400
2026-08-23,ドリップコーヒー12杯,食品,福岡,2,1200,2400
2026-08-24,カフェオレベース,食品,名古屋,5,980,4900
2026-08-24,ドリップパックギフト,ギフト,東京,4,3200,12800
2026-08-25,ギフトセット,ギフト,名古屋,3,4500,13500
2026-08-25,カフェオレベース,食品,東京,4,980,3920
2026-08-25,マグカップ,雑貨,札幌,1,1800,1800
2026-08-26,ドリップパックギフト,ギフト,東京,3,3200,9600
2026-08-26,マグカップ,雑貨,その他,4,1800,7200
2026-08-26,コーヒー豆200g,食品,東京,4,1500,6000
2026-08-26,定期便（月1）,サブスク,東京,3,3600,10800
2026-08-26,カフェオレベース,食品,大阪,4,980,3920
2026-08-26,ドリップパックギフト,ギフト,その他,1,3200,3200
2026-08-27,カフェオレベース,食品,札幌,4,980,3920
2026-08-27,ドリップパックギフト,ギフト,大阪,5,3200,16000
2026-08-27,マグカップ,雑貨,東京,4,1800,7200
2026-08-27,マグカップ,雑貨,大阪,2,1800,3600
2026-08-27,マグカップ,雑貨,東京,3,1800,5400
2026-08-27,カフェオレベース,食品,福岡,4,980,3920
2026-08-28,ドリップパックギフト,ギフト,その他,4,3200,12800
2026-08-28,カフェオレベース,食品,大阪,4,980,3920
2026-08-28,コーヒー豆200g,食品,札幌,1,1500,1500
2026-08-28,コーヒー豆200g,食品,福岡,3,1500,4500
2026-08-29,ドリップパックギフト,ギフト,東京,4,3200,12800
2026-08-29,ドリップコーヒー12杯,食品,その他,3,1200,3600
2026-08-29,ドリップコーヒー12杯,食品,その他,1,1200,1200
2026-08-29,ドリップパックギフト,ギフト,大阪,3,3200,9600
2026-08-29,コーヒー豆200g,食品,福岡,2,1500,3000
2026-08-30,定期便（月1）,サブスク,札幌,5,3600,18000
2026-08-30,タンブラー,雑貨,大阪,3,2800,8400
2026-08-30,ドリップコーヒー12杯,食品,福岡,3,1200,3600
2026-08-31,定期便（月1）,サブスク,東京,5,3600,18000
2026-08-31,ドリップパックギフト,ギフト,東京,1,3200,3200
2026-08-31,コーヒー豆200g,食品,名古屋,4,1500,6000
2026-09-01,ドリップパックギフト,ギフト,大阪,4,3200,12800
2026-09-01,コーヒー豆200g,食品,名古屋,3,1500,4500
2026-09-01,ギフトセット,ギフト,東京,2,4500,9000
2026-09-01,定期便（月1）,サブスク,東京,5,3600,18000
2026-09-01,定期便（月1）,サブスク,福岡,2,3600,7200
2026-09-02,マグカップ,雑貨,名古屋,2,1800,3600
2026-09-02,定期便（月1）,サブスク,札幌,5,3600,18000
2026-09-02,ドリップパックギフト,ギフト,名古屋,3,3200,9600
2026-09-03,タンブラー,雑貨,大阪,3,2800,8400
2026-09-03,カフェオレベース,食品,東京,4,980,3920
2026-09-04,ドリップパックギフト,ギフト,福岡,3,3200,9600
2026-09-04,カフェオレベース,食品,福岡,2,980,1960
2026-09-05,ドリップコーヒー12杯,食品,福岡,2,1200,2400
2026-09-05,ギフトセット,ギフト,東京,5,4500,22500
2026-09-05,コーヒー豆200g,食品,東京,2,1500,3000
2026-09-05,タンブラー,雑貨,東京,4,2800,11200
2026-09-05,コーヒー豆200g,食品,福岡,4,1500,6000
2026-09-05,ドリップパックギフト,ギフト,その他,1,3200,3200
2026-09-06,ドリップパックギフト,ギフト,福岡,1,3200,3200
2026-09-06,マグカップ,雑貨,札幌,4,1800,7200
2026-09-06,カフェオレベース,食品,札幌,2,980,1960
2026-09-06,定期便（月1）,サブスク,福岡,5,3600,18000
2026-09-06,ドリップコーヒー12杯,食品,大阪,3,1200,3600
2026-09-06,定期便（月1）,サブスク,東京,4,3600,14400
2026-09-07,カフェオレベース,食品,名古屋,5,980,4900
2026-09-07,ドリップパックギフト,ギフト,東京,4,3200,12800
2026-09-08,カフェオレベース,食品,大阪,2,980,1960
2026-09-08,定期便（月1）,サブスク,東京,4,3600,14400
2026-09-09,定期便（月1）,サブスク,名古屋,1,3600,3600
2026-09-09,定期便（月1）,サブスク,東京,2,3600,7200
2026-09-09,マグカップ,雑貨,福岡,1,1800,1800
2026-09-10,カフェオレベース,食品,名古屋,5,980,4900
2026-09-10,コーヒー豆200g,食品,大阪,4,1500,6000
2026-09-10,タンブラー,雑貨,大阪,5,2800,14000
2026-09-10,マグカップ,雑貨,福岡,2,1800,3600
2026-09-10,マグカップ,雑貨,東京,5,1800,9000
2026-09-10,定期便（月1）,サブスク,その他,2,3600,7200
2026-09-11,ドリップパックギフト,ギフト,大阪,4,3200,12800
2026-09-11,ドリップコーヒー12杯,食品,名古屋,1,1200,1200
2026-09-11,マグカップ,雑貨,大阪,5,1800,9000
2026-09-11,コーヒー豆200g,食品,東京,2,1500,3000
2026-09-11,マグカップ,雑貨,大阪,5,1800,9000
2026-09-11,コーヒー豆200g,食品,名古屋,5,1500,7500
2026-09-12,ドリップコーヒー12杯,食品,その他,3,1200,3600
2026-09-12,カフェオレベース,食品,東京,5,980,4900
2026-09-12,ギフトセット,ギフト,名古屋,5,4500,22500
2026-09-12,定期便（月1）,サブスク,東京,1,3600,3600
2026-09-12,カフェオレベース,食品,大阪,4,980,3920
2026-09-12,ギフトセット,ギフト,大阪,4,4500,18000
2026-09-13,コーヒー豆200g,食品,東京,4,1500,6000
2026-09-13,コーヒー豆200g,食品,その他,2,1500,3000
2026-09-13,ドリップパックギフト,ギフト,大阪,1,3200,3200
2026-09-14,マグカップ,雑貨,札幌,2,1800,3600
2026-09-14,ドリップコーヒー12杯,食品,東京,2,1200,2400
2026-09-14,コーヒー豆200g,食品,札幌,1,1500,1500
2026-09-14,ギフトセット,ギフト,東京,1,4500,4500
2026-09-14,ドリップパックギフト,ギフト,その他,3,3200,9600
2026-09-14,定期便（月1）,サブスク,東京,5,3600,18000
2026-09-15,ドリップコーヒー12杯,食品,札幌,3,1200,3600
2026-09-15,ギフトセット,ギフト,東京,3,4500,13500
2026-09-16,コーヒー豆200g,食品,名古屋,4,1500,6000
2026-09-16,ドリップコーヒー12杯,食品,名古屋,4,1200,4800
2026-09-16,ギフトセット,ギフト,福岡,1,4500,4500
2026-09-16,定期便（月1）,サブスク,福岡,1,3600,3600
2026-09-16,カフェオレベース,食品,東京,3,980,2940
2026-09-16,ギフトセット,ギフト,大阪,1,4500,4500
2026-09-17,コーヒー豆200g,食品,大阪,5,1500,7500
2026-09-17,マグカップ,雑貨,札幌,2,1800,3600
2026-09-18,コーヒー豆200g,食品,札幌,5,1500,7500
2026-09-18,コーヒー豆200g,食品,大阪,1,1500,1500
2026-09-18,カフェオレベース,食品,東京,5,980,4900
2026-09-18,ドリップパックギフト,ギフト,東京,5,3200,16000
2026-09-18,定期便（月1）,サブスク,名古屋,3,3600,10800
2026-09-19,マグカップ,雑貨,名古屋,1,1800,1800
2026-09-19,定期便（月1）,サブスク,大阪,5,3600,18000
2026-09-19,ギフトセット,ギフト,大阪,1,4500,4500
2026-09-19,カフェオレベース,食品,東京,2,980,1960
2026-09-19,カフェオレベース,食品,大阪,5,980,4900
2026-09-19,マグカップ,雑貨,その他,5,1800,9000
2026-09-20,ギフトセット,ギフト,その他,5,4500,22500
2026-09-20,ギフトセット,ギフト,福岡,4,4500,18000
2026-09-20,コーヒー豆200g,食品,東京,5,1500,7500
2026-09-21,カフェオレベース,食品,東京,3,980,2940
2026-09-21,ドリップパックギフト,ギフト,福岡,1,3200,3200
2026-09-22,タンブラー,雑貨,大阪,2,2800,5600
2026-09-22,カフェオレベース,食品,名古屋,2,980,1960
2026-09-23,ドリップコーヒー12杯,食品,その他,1,1200,1200
2026-09-23,タンブラー,雑貨,名古屋,4,2800,11200
2026-09-24,ドリップコーヒー12杯,食品,東京,2,1200,2400
2026-09-24,ドリップコーヒー12杯,食品,札幌,5,1200,6000
2026-09-24,ドリップコーヒー12杯,食品,大阪,2,1200,2400
2026-09-24,コーヒー豆200g,食品,その他,3,1500,4500
2026-09-25,マグカップ,雑貨,東京,3,1800,5400
2026-09-25,マグカップ,雑貨,福岡,2,1800,3600
2026-09-25,タンブラー,雑貨,その他,3,2800,8400
2026-09-26,定期便（月1）,サブスク,東京,3,3600,10800
2026-09-26,タンブラー,雑貨,大阪,5,2800,14000
2026-09-26,ドリップパックギフト,ギフト,大阪,3,3200,9600
2026-09-26,コーヒー豆200g,食品,名古屋,2,1500,3000
2026-09-27,コーヒー豆200g,食品,名古屋,4,1500,6000
2026-09-27,カフェオレベース,食品,東京,3,980,2940
2026-09-27,ドリップコーヒー12杯,食品,東京,3,1200,3600
2026-09-28,ドリップコーヒー12杯,食品,大阪,1,1200,1200
2026-09-28,コーヒー豆200g,食品,大阪,1,1500,1500
2026-09-28,コーヒー豆200g,食品,その他,4,1500,6000
2026-09-28,マグカップ,雑貨,名古屋,2,1800,3600
2026-09-28,定期便（月1）,サブスク,大阪,1,3600,3600
2026-09-28,マグカップ,雑貨,名古屋,4,1800,7200
2026-09-29,カフェオレベース,食品,東京,4,980,3920
2026-09-29,カフェオレベース,食品,福岡,2,980,1960
2026-09-29,ドリップコーヒー12杯,食品,その他,5,1200,6000
2026-09-29,タンブラー,雑貨,大阪,2,2800,5600
2026-09-29,コーヒー豆200g,食品,名古屋,1,1500,1500
2026-09-29,カフェオレベース,食品,大阪,2,980,1960
2026-09-30,コーヒー豆200g,食品,東京,1,1500,1500
2026-09-30,カフェオレベース,食品,札幌,4,980,3920
2026-09-30,ドリップパックギフト,ギフト,札幌,4,3200,12800
2026-09-30,カフェオレベース,食品,大阪,2,980,1960
2026-09-30,定期便（月1）,サブスク,大阪,2,3600,7200
